song_title,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
New God Flow.1 - Album Version (Edited),0.459,0.475,357293,0.949,0,3,0.722,-3.041,0,0.49,173.797,4,0.398
The Morning - Album Version (Edited),0.036,0.522,275213,0.582,0,7,0.241,-6.903,1,0.408,80.483,4,0.185
Cold.1 - Album Version (Edited),0.0017,0.671,216213,0.888,0,4,0.239,-4.094,0,0.0831,106.705,5,0.612
Higher - Album Version (Edited),0.0158,0.658,274280,0.65,0.000211,5,0.122,-7.952,0,0.116,153.974,4,0.276
Sin City - Album Version (Edited),0.0425,0.55,268387,0.625,0,10,0.0823,-8.462,0,0.117,82.946,4,0.237
The One - Album Version (Edited),0.0391,0.529,344880,0.757,0,6,0.127,-5.333,0,0.145,139.919,4,0.256
Creepers - Album Version (Edited),0.0217,0.605,194013,0.74,0.00192,2,0.115,-8.084,1,0.0842,197.961,4,0.0767
Bliss - Album Version (Edited),0.0127,0.356,210013,0.66,0,3,0.445,-8.216,1,0.0401,76.368,4,0.411
Don't Like.1 - Album Version (Edited),0.00708,0.499,282880,0.604,0,2,0.113,-5.443,1,0.296,132.069,4,0.626
No Church In The Wild,0.246,0.654,272507,0.75,0.0178,8,0.167,-7.509,0,0.105,92.78,4,0.557
Lift Off,0.188,0.404,266253,0.784,0.00178,2,0.165,-7.584,0,0.123,179.439,3,0.289
Ni**as In Paris,0.127,0.789,219333,0.858,0,1,0.349,-5.542,1,0.311,140.022,4,0.775
Otis,0.552,0.754,178213,0.631,0,7,0.5,-4.751,0,0.307,94.577,4,0.432
Gotta Have It,0.411,0.74,140747,0.574,0,4,0.262,-6.938,1,0.245,149.762,4,0.33
New Day,0.388,0.561,272853,0.645,7.43E-05,10,0.142,-6.808,0,0.0707,91.012,4,0.36
That's My Bitch,0.237,0.744,202560,0.871,0.000287,7,0.121,-6.291,1,0.114,108.982,4,0.497
Welcome To The Jungle,0.0128,0.636,174133,0.93,3.70E-06,2,0.18,-5.179,1,0.364,92.899,4,0.325
Who Gon Stop Me,0.0408,0.593,256707,0.73,0.000156,0,0.715,-4.638,0,0.159,133.879,4,0.377
Murder To Excellence,0.0242,0.566,300960,0.815,0,1,0.0804,-4.741,1,0.321,87.353,4,0.576
Made In America,0.0428,0.705,292067,0.729,5.86E-05,11,0.224,-7.01,0,0.221,165.901,4,0.549
Why I Love You,0.0259,0.48,201373,0.808,0,5,0.269,-4.133,1,0.0423,123.387,4,0.37
Illest Motherf**ker Alive,0.172,0.537,503320,0.663,1.58E-06,11,0.607,-6.412,1,0.0949,139.979,4,0.295
H•A•M,0.0462,0.657,275733,0.524,0,8,0.322,-4.907,1,0.061,140.021,4,0.0383
Primetime,0.166,0.662,199240,0.923,1.01E-05,11,0.311,-4.085,0,0.21,84.99,4,0.47
The Joy,0.146,0.555,317920,0.516,3.09E-05,7,0.139,-6.256,1,0.331,79.61,4,0.327
No Church In The Wild - Album Version (Edited),0.242,0.665,272547,0.74,0.0306,8,0.153,-7.533,0,0.108,92.75,4,0.549
Lift Off - Album Version (Edited),0.182,0.513,266227,0.764,0.00201,2,0.154,-7.562,0,0.0764,89.8,3,0.25
Ni**as In Paris - Album Version (Edited),0.112,0.804,219333,0.884,0,1,0.332,-4.166,1,0.289,140.046,4,0.699
Otis - Album Version (Edited),0.576,0.758,178187,0.633,0,7,0.511,-4.804,0,0.31,94.572,4,0.394
Gotta Have It - Album Version (Edited),0.397,0.729,140733,0.566,0,4,0.204,-6.948,0,0.255,149.877,4,0.319
